t,xc,yc,zc,rxdegc,rydegc,rzdegc
200.00,0.00,0.00,0.00,0.00,0.00,0.00
201.00,-0.01,0.09,0.02,0.19,0.04,-0.05
202.00,-0.01,0.18,0.05,0.41,0.09,-0.07
203.00,0.00,0.27,0.09,0.67,0.14,-0.09
204.00,0.01,0.37,0.11,0.87,0.15,-0.11
205.00,0.01,0.45,0.15,1.13,0.10,-0.14
206.00,0.02,0.52,0.21,1.48,0.07,-0.17
207.00,0.03,0.60,0.22,1.66,0.08,-0.19
208.00,0.05,0.68,0.20,1.65,0.10,-0.23
209.00,0.05,0.73,0.23,1.81,0.07,-0.24
210.00,0.05,0.79,0.28,2.14,0.02,-0.23
211.00,0.05,0.88,0.29,2.37,0.02,-0.23
212.00,-0.01,0.93,0.33,2.62,0.11,-0.23
213.00,-0.11,0.96,0.38,2.70,0.65,-0.22
214.00,-0.20,1.01,0.34,2.35,1.79,-0.20
215.00,-0.35,1.02,0.40,2.21,2.45,-0.18
216.00,-0.46,1.05,0.48,2.37,2.44,-0.18
217.00,-0.47,1.13,0.52,2.53,2.48,-0.20
218.00,-0.48,1.20,0.57,2.75,2.55,-0.24
219.00,-0.52,1.29,0.63,2.97,2.49,-0.29
220.00,-0.56,1.36,0.68,3.13,2.52,-0.31
221.00,-0.58,1.45,0.70,3.20,2.73,-0.40
222.00,-0.60,1.54,0.73,3.38,2.89,-0.52
223.00,-0.65,1.66,0.78,3.80,2.94,-0.56
224.00,-0.69,1.81,0.87,4.46,3.07,-0.55
225.00,-0.70,1.95,0.98,5.30,3.36,-0.56
226.00,-0.74,2.13,1.03,5.89,3.52,-0.62
227.00,-0.77,2.28,1.07,6.32,3.56,-0.66
228.00,-0.78,2.39,1.16,6.79,3.62,-0.68
229.00,-0.82,2.50,1.23,7.07,3.64,-0.68
230.00,-0.84,2.61,1.26,7.12,3.74,-0.72
231.00,-0.86,2.71,1.30,7.22,3.92,-0.81
232.00,-0.88,2.77,1.43,7.71,4.08,-0.90
233.00,-0.88,2.81,1.56,8.13,4.22,-0.96
234.00,-0.85,2.88,1.55,7.71,4.14,-1.06
235.00,-0.84,2.94,1.50,6.81,3.63,-1.21
236.00,-0.82,2.91,1.59,6.52,3.16,-1.25
237.00,-0.77,2.92,1.70,6.75,3.10,-1.23
238.00,-0.76,2.99,1.75,6.98,3.21,-1.18
239.00,-0.78,3.07,1.80,7.18,3.25,-1.07
240.00,-0.80,3.17,1.82,7.32,3.19,-0.92
