t,xc,yc,zc,rxdegc,rydegc,rzdegc
200.00,0.00,0.00,0.00,0.00,0.00,0.00
201.00,-0.02,0.09,0.02,0.18,0.05,-0.06
202.00,-0.03,0.16,0.06,0.37,0.09,-0.09
203.00,-0.03,0.25,0.10,0.65,0.16,-0.11
204.00,-0.03,0.36,0.12,0.87,0.18,-0.12
205.00,-0.03,0.42,0.18,1.05,0.15,-0.15
206.00,-0.02,0.50,0.24,1.42,0.10,-0.19
207.00,0.00,0.64,0.20,1.74,0.10,-0.21
208.00,0.01,0.74,0.16,1.73,0.12,-0.24
209.00,-0.00,0.73,0.24,1.74,0.12,-0.27
210.00,-0.01,0.76,0.32,2.08,0.06,-0.27
211.00,0.02,0.87,0.31,2.39,0.01,-0.25
212.00,0.04,0.94,0.34,2.54,0.09,-0.25
213.00,0.13,1.06,0.28,2.91,0.18,-0.26
214.00,0.11,1.19,0.19,2.63,1.28,-0.24
215.00,-0.23,1.11,0.33,2.20,2.46,-0.22
216.00,-0.48,1.07,0.49,2.40,2.49,-0.19
217.00,-0.46,1.14,0.54,2.52,2.44,-0.21
218.00,-0.48,1.21,0.61,2.73,2.58,-0.24
219.00,-0.53,1.30,0.67,2.97,2.56,-0.30
220.00,-0.52,1.40,0.70,3.17,2.46,-0.33
221.00,-0.49,1.50,0.72,3.27,2.65,-0.35
222.00,-0.53,1.53,0.81,3.30,2.88,-0.50
223.00,-0.62,1.56,0.94,3.66,2.97,-0.59
224.00,-0.62,1.63,1.10,4.15,2.96,-0.57
225.00,-0.60,1.77,1.23,5.02,3.25,-0.56
226.00,-0.68,2.04,1.21,5.82,3.55,-0.62
227.00,-0.74,2.22,1.24,6.16,3.54,-0.67
228.00,-0.75,2.35,1.33,6.70,3.63,-0.71
229.00,-0.79,2.53,1.34,7.08,3.66,-0.70
230.00,-0.77,2.69,1.34,7.24,3.68,-0.71
231.00,-0.76,2.74,1.44,7.16,3.86,-0.79
232.00,-0.78,2.72,1.64,7.48,4.04,-0.89
233.00,-0.82,2.89,1.69,8.18,4.18,-0.96
234.00,-0.90,3.24,1.49,8.25,4.34,-1.01
235.00,-0.99,3.33,1.43,7.24,3.95,-1.18
236.00,-0.91,3.09,1.71,6.48,3.28,-1.29
237.00,-0.76,2.99,1.93,6.75,3.08,-1.27
238.00,-0.73,3.08,1.99,6.95,3.20,-1.24
239.00,-0.80,3.18,2.04,7.21,3.29,-1.17
240.00,-0.84,3.28,2.08,7.33,3.25,-1.01
241.00,-0.82,3.33,2.16,7.50,3.17,-0.87
242.00,-0.78,3.41,2.21,7.81,3.02,-0.88
243.00,-0.77,3.49,2.26,7.99,2.88,-0.87
244.00,-0.73,3.57,2.30,8.33,2.67,-0.85
245.00,-0.64,3.77,2.19,8.53,2.59,-0.87
246.00,-0.64,3.87,2.11,8.01,3.05,-0.75
247.00,-0.75,3.76,2.23,7.55,3.35,-0.63
248.00,-0.79,3.69,2.36,7.59,3.24,-0.60
249.00,-0.76,3.72,2.41,7.67,3.15,-0.54
250.00,-0.72,3.76,2.48,7.82,2.98,-0.49
251.00,-0.66,3.80,2.55,8.00,2.84,-0.46
252.00,-0.63,3.89,2.58,8.33,2.80,-0.36
253.00,-0.61,4.01,2.58,8.44,2.61,-0.25
254.00,-0.52,4.04,2.66,8.42,2.36,-0.19
255.00,-0.43,4.07,2.74,8.65,2.22,-0.16
256.00,-0.39,4.16,2.77,8.76,2.19,-0.08
257.00,-0.31,4.27,2.75,8.80,2.02,-0.04
258.00,-0.25,4.35,2.70,8.48,2.25,0.03
